PERIODO;FACULTAD;CARRERA;ESTUDIANTE;COD_MATERIA;MATERIA;COD_GRUPO;GRUPO/PARALELO;ESTADO;PROMEDIO;ASISTENCIA;NO. VEZ;NIVEL
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 43;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;7,45;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 44;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;8,81;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 45;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;7,79;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 46;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;7,96;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 47;318010;CÁLCULO I;3180011;CDDEIA-ELNO-1-11   VAN20;APROBADA;7,21;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 48;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;REPROBADA;0,00;0;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 49;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;8,64;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 50;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;7,45;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 51;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;8,13;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 52;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;REPROBADA;0,00;0;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 53;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;7,34;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 54;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;REPROBADA;0,17;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 55;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;8,73;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 56;318010;CÁLCULO I;3180011;CDDEIA-ELNO-1-11   VAN20;APROBADA;7,56;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 57;318010;CÁLCULO I;3180011;CDDEIA-ELNO-1-11   VAN20;APROBADA;7,51;100;3;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 58;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;8,30;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 59;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;7,44;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 60;318010;CÁLCULO I;3180011;CDDEIA-ELNO-1-11   VAN20;APROBADA;7,45;100;3;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 61;318010;CÁLCULO I;3180011;CDDEIA-ELNO-1-11   VAN20;APROBADA;7,28;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 62;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;REPROBADA;0,00;0;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 63;318010;CÁLCULO I;3180011;CDDEIA-ELNO-1-11   VAN20;REPROBADA;0,00;0;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 64;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;8,47;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 65;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;7,25;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 66;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;7,62;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 67;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;REPROBADA;0,00;0;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 68;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;7,45;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 69;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;REPROBADA;4,26;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 70;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;REPROBADA;6,60;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 71;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;8,81;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 72;318010;CÁLCULO I;3180011;CDDEIA-ELNO-1-11   VAN20;APROBADA;9,41;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 73;318010;CÁLCULO I;3180011;CDDEIA-ELNO-1-11   VAN20;APROBADA;9,42;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 74;318010;CÁLCULO I;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;8,30;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 75;318010;CÁLCULO I;3180011;CDDEIA-ELNO-1-11   VAN20;APROBADA;7,97;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 76;318010;CÁLCULO I;3180011;CDDEIA-ELNO-1-11   VAN20;APROBADA;8,32;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 77;318010;CÁLCULO I;3180011;CDDEIA-ELNO-1-11   VAN20;REPROBADA;0,00;0;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 78;318010;CÁLCULO I;3180011;CDDEIA-ELNO-1-11   VAN20;REPROBADA;0,00;0;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 78;318050;DEMOCRACIA, CIUDADANÍA Y GLOBALIZACIÓN;3180011;CDDEIA-ELNO-1-11   VAN20;REPROBADA;0,00;0;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 77;318050;DEMOCRACIA, CIUDADANÍA Y GLOBALIZACIÓN;3180011;CDDEIA-ELNO-1-11   VAN20;REPROBADA;0,00;0;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 71;318050;DEMOCRACIA, CIUDADANÍA Y GLOBALIZACIÓN;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;9,32;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 76;318050;DEMOCRACIA, CIUDADANÍA Y GLOBALIZACIÓN;3180011;CDDEIA-ELNO-1-11   VAN20;REPROBADA;0,00;0;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 74;318050;DEMOCRACIA, CIUDADANÍA Y GLOBALIZACIÓN;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;9,40;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 65;318050;DEMOCRACIA, CIUDADANÍA Y GLOBALIZACIÓN;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;9,38;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 70;318050;DEMOCRACIA, CIUDADANÍA Y GLOBALIZACIÓN;3180011;CDDEIA-ELNO-1-11   VAN20;APROBADA;9,32;92;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 75;318050;DEMOCRACIA, CIUDADANÍA Y GLOBALIZACIÓN;3180011;CDDEIA-ELNO-1-11   VAN20;APROBADA;8,03;92;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 66;318050;DEMOCRACIA, CIUDADANÍA Y GLOBALIZACIÓN;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;9,15;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 68;318050;DEMOCRACIA, CIUDADANÍA Y GLOBALIZACIÓN;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;9,61;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 61;318050;DEMOCRACIA, CIUDADANÍA Y GLOBALIZACIÓN;3180011;CDDEIA-ELNO-1-11   VAN20;APROBADA;8,25;83;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 63;318050;DEMOCRACIA, CIUDADANÍA Y GLOBALIZACIÓN;3180011;CDDEIA-ELNO-1-11   VAN20;REPROBADA;2,46;58;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 64;318050;DEMOCRACIA, CIUDADANÍA Y GLOBALIZACIÓN;3180011;CDDEIA-ELNO-1-11   VAN20;APROBADA;9,12;75;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 72;318050;DEMOCRACIA, CIUDADANÍA Y GLOBALIZACIÓN;3180011;CDDEIA-ELNO-1-11   VAN20;APROBADA;8,62;92;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 73;318050;DEMOCRACIA, CIUDADANÍA Y GLOBALIZACIÓN;3180011;CDDEIA-ELNO-1-11   VAN20;APROBADA;9,07;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 67;318050;DEMOCRACIA, CIUDADANÍA Y GLOBALIZACIÓN;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;8,54;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 56;318050;DEMOCRACIA, CIUDADANÍA Y GLOBALIZACIÓN;3180011;CDDEIA-ELNO-1-11   VAN20;APROBADA;8,79;92;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 62;318050;DEMOCRACIA, CIUDADANÍA Y GLOBALIZACIÓN;3180001;CDDEIA-ELMA-1-1   VAN20;REPROBADA;0,00;0;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 69;318050;DEMOCRACIA, CIUDADANÍA Y GLOBALIZACIÓN;3180011;CDDEIA-ELNO-1-11   VAN20;REPROBADA;5,43;75;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 55;318050;DEMOCRACIA, CIUDADANÍA Y GLOBALIZACIÓN;3180011;CDDEIA-ELNO-1-11   VAN20;APROBADA;7,62;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 59;318050;DEMOCRACIA, CIUDADANÍA Y GLOBALIZACIÓN;3180011;CDDEIA-ELNO-1-11   VAN20;APROBADA;8,15;75;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 53;318050;DEMOCRACIA, CIUDADANÍA Y GLOBALIZACIÓN;3180001;CDDEIA-ELMA-1-1   VAN20;APROBADA;9,85;100;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 52;318050;DEMOCRACIA, CIUDADANÍA Y GLOBALIZACIÓN;3180011;CDDEIA-ELNO-1-11   VAN20;REPROBADA;3,09;42;1;1
2024 - 2025 CII;CIENCIAS MATEMATICAS Y FISICAS;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL;Estudiante 51;318050;DEMOCRACIA, CIUDADANÍA Y GLOBALIZACIÓN;3180011;CDDEIA-ELNO-1-11   VAN20;APROBADA;8,99;100;1;1
